description,category
Zomato,Food
Swiggy,Food
McDonald's,Food
KFC,Food
Dominos,Food
Pizza Hut,Food
Burger King,Food
Subway,Food
Starbucks,Food
Cafe Coffee Day,Food
Haldirams,Food
Barbeque Nation,Food
Box8,Food
Faasos,Food
Biryani By Kilo,Food
Behrouz Biryani,Food
Licious,Food
FreshMenu,Food
EatFit,Food
Rebel Foods,Food
Uber,Transport
Uber India,Transport
Ola,Transport
Rapido,Transport
Metro Card,Transport
BEST Bus,Transport
Indian Railways,Transport
IRCTC,Transport
RedBus,Transport
AbBus,Transport
Indian Oil,Transport
Bharat Petroleum,Transport
HPCL,Transport
Petrol Station,Transport
Fuel,Transport
Amazon India,Shopping
Amazon,Shopping
Flipkart,Shopping
Myntra,Shopping
Meesho,Shopping
Snapdeal,Shopping
Nykaa Fashion,Shopping
Ajio,Shopping
Tata Cliq,Shopping
Reliance Digital,Shopping
Croma,Shopping
Vijay Sales,Shopping
Lenskart,Shopping
BigBasket,Groceries
Grofers,Groceries
JioMart,Groceries
Blinkit,Groceries
Zepto,Groceries
DMart,Groceries
More Supermarket,Groceries
Nature's Basket,Groceries
Milk Basket,Groceries
Country Delight,Groceries
Netflix,Entertainment
Hotstar,Entertainment
Disney Plus Hotstar,Entertainment
Prime Video,Entertainment
Amazon Prime Video,Entertainment
SonyLIV,Entertainment
ZEE5,Entertainment
MX Player,Entertainment
Voot,Entertainment
ALTBalaji,Entertainment
JioCinema,Entertainment
Aha,Entertainment
Eros Now,Entertainment
BookMyShow,Entertainment
PVR Cinemas,Entertainment
INOX,Entertainment
Spotify,Entertainment
YouTube Premium,Entertainment
Gaana,Entertainment
JioSaavn,Entertainment
Wynk Music,Entertainment
Steam,Entertainment
Jio,Utilities
Airtel,Utilities
BSNL,Utilities
Vi,Utilities
Vodafone Idea,Utilities
MSEB,Utilities
BESCOM,Utilities
Tata Power,Utilities
Adani Electricity,Utilities
CESC,Utilities
BWSSB,Utilities
Mahanagar Gas,Utilities
Piped Gas,Utilities
Broadband,Utilities
ACT Fibernet,Utilities
Hathway,Utilities
Apollo Pharmacy,Health
MedPlus,Health
Netmeds,Health
1mg,Health
PharmEasy,Health
Practo,Health
Doctor Consultation,Health
Hospital,Health
Fortis,Health
Apollo Hospital,Health
Max Hospital,Health
Manipal Hospital,Health
HDFC Mutual Fund,Investment
SBI Mutual Fund,Investment
Zerodha,Investment
Groww,Investment
Paytm Money,Investment
Upstox,Investment
Angel Broking,Investment
ICICI Direct,Investment
Kotak Securities,Investment
Nykaa,Beauty
Purplle,Beauty
Sugar Cosmetics,Beauty
Mamaearth,Beauty
WOW Skin Science,Beauty
Lakme,Beauty
L'Oreal India,Beauty
Himalaya,Beauty
Forest Essentials,Beauty
Kama Ayurveda,Beauty
Lotus Herbals,Beauty
Plum,Beauty
mCaffeine,Beauty
Minimalist,Beauty
Dot and Key,Beauty
The Derma Co,Beauty
Re'equil,Beauty
Biotique,Beauty
Saloon,Beauty
Haircut,Beauty
MakeMyTrip,Travel
Yatra,Travel
Goibibo,Travel
Ixigo,Travel
EaseMyTrip,Travel
OYO,Travel
FabHotels,Travel
Treebo,Travel
Airbnb,Travel
IndiGo,Travel
Air India,Travel
SpiceJet,Travel
Vistara,Travel
Go First,Travel
NEFT Salary,Income
Salary,Income
Freelance,Income
Dividend,Income
Interest,Income
TECH CORP Salary,Income
UBER *RIDE,Transport
UBER *TRIP,Transport
EXXON MOBIL,Transport
KROGER,Groceries
HOSPITAL CO-PAY,Health
STARBUCKS,Food
AIRBNB,Travel
AMAZON PRIME,Shopping
CINEMA CITY,Entertainment
PAYPAL *EBAY,Shopping
LULULEMON,Shopping
PAYPAL,Shopping
eBay,Shopping
